STATUS | wrapper  | 2023/03/08 09:56:45 | --> Wrapper Started as Console
INFO   | jvm 2    | 2023/03/08 15:56:50 | 1. Failed to parse pipeline pipeline; class java.util.ArrayList cannot be cast to class java.util.Map (java.util.ArrayList and java.util.Map are in module java.base of loader 'bootstrap')
INFO   | jvm 2    | 2023/03/08 15:56:50 | 
INFO   | jvm 2    | 2023/03/08 15:56:50 | 	at com.thoughtworks.go.config.ConfigRepoPlugin.parseDirectory(ConfigRepoPlugin.java:97)
INFO   | jvm 2    | 2023/03/08 15:56:50 | 	at com.thoughtworks.go.config.ConfigRepoPlugin.load(ConfigRepoPlugin.java:64)
INFO   | jvm 2    | 2023/03/08 15:56:50 | 	at com.thoughtworks.go.config.GoConfigRepoConfigDataSource.onCheckoutComplete(GoConfigRepoConfigDataSource.java:162)
INFO   | jvm 2    | 2023/03/08 15:56:50 | 	at com.thoughtworks.go.server.materials.ConfigMaterialUpdateListener.updateConfigurationFromCheckout(ConfigMaterialUpdateListener.java:99)
INFO   | jvm 2    | 2023/03/08 15:56:50 | 	at com.thoughtworks.go.server.materials.ConfigMaterialUpdateListener.onMessage(ConfigMaterialUpdateListener.java:84)
INFO   | jvm 2    | 2023/03/08 15:56:50 | 	at com.thoughtworks.go.server.materials.ConfigMaterialUpdateListener.onMessage(ConfigMaterialUpdateListener.java:36)
INFO   | jvm 2    | 2023/03/08 15:56:50 | 	at com.thoughtworks.go.server.messaging.activemq.JMSMessageListenerAdapter.runImpl(JMSMessageListenerAdapter.java:83)
INFO   | jvm 2    | 2023/03/08 15:56:50 | 	at com.thoughtworks.go.server.messaging.activemq.JMSMessageListenerAdapter.run(JMSMessageListenerAdapter.java:63)
INFO   | jvm 2    | 2023/03/08 15:56:50 | 	at java.base/java.lang.Thread.run(Unknown Source)
